video_id,title,views,publishedAt,durationSec,channel_id,channel_title,channel_url,watch_url
YP-HZ4nSOpQ,데뷔전 부터 한판한 손흥민!,5279339,2025-08-11T04:15:05Z,34,UCKTPSeVuniEnXVeg86W4NMw,축구히어로,https://www.youtube.com/channel/UCKTPSeVuniEnXVeg86W4NMw,https://www.youtube.com/watch?v=YP-HZ4nSOpQ
JS1PhioHkI0,손흥민에 대한 토트넘 동료들의 신뢰 l 파넨카킥 반응,4589036,2025-08-13T00:42:27Z,16,UCP6Idof-_rqlGucc5AOL_Aw,아크써클_축구,https://www.youtube.com/channel/UCP6Idof-_rqlGucc5AOL_Aw,https://www.youtube.com/watch?v=JS1PhioHkI0
BBzzE1DnTl4,미국 간 손흥민에 대한 런던 팬들의 평가 #매불쇼 #손흥민 #박문성 #토트넘 #해리케인,4189510,2025-08-14T03:30:12Z,54,UCbouR-45rChK6ou95zSlNxA,사이다 이슈-시사뉴스,https://www.youtube.com/channel/UCbouR-45rChK6ou95zSlNxA,https://www.youtube.com/watch?v=BBzzE1DnTl4
5PMvv9gwX5M,미국도 홀린 개빠른 손흥민 ㄷㄷ,4172035,2025-08-11T11:40:00Z,8,UCWOJBPAhe2W0BqL2NO2EGnQ,핫뉴스,https://www.youtube.com/channel/UCWOJBPAhe2W0BqL2NO2EGnQ,https://www.youtube.com/watch?v=5PMvv9gwX5M
iVJbaV1eAIk,"이강인의 환상적인 추격골! PSG, 대역전극으로 '창단 첫 슈퍼컵 우승' #SPOTIME",3211184,2025-08-13T23:20:13Z,273,UCnXNukjRxXGD8aeZGRV-lYg,스포타임,https://www.youtube.com/channel/UCnXNukjRxXGD8aeZGRV-lYg,https://www.youtube.com/watch?v=iVJbaV1eAIk
2_svcHGGMfg,손흥민에게 무리뉴가 쓴소리를 한 이유 #손흥민,3005099,2025-08-11T14:30:01Z,60,UCCHLjJdkOMa5nsRn1a3GoCA,예능마트,https://www.youtube.com/channel/UCCHLjJdkOMa5nsRn1a3GoCA,https://www.youtube.com/watch?v=2_svcHGGMfg
jsc8Mru8gsU,알바 '불시 습격' 했더니..사장님 바디캠에 찍힌 '역대급' 장면 #뉴스다 / JTBC News,2957981,2025-08-12T08:05:01Z,1175,UCsU-I-vHLiaMfV_ceaYz5rQ,JTBC News,https://www.youtube.com/channel/UCsU-I-vHLiaMfV_ceaYz5rQ,https://www.youtube.com/watch?v=jsc8Mru8gsU
8OBR-P3rqgo,사유지 침범한 카라반들…보다 못한 땅 주인이 뿌린 건? [월드 플러스] / KBS  2025.08.11.,2467867,2025-08-11T06:55:01Z,65,UCcQTRi69dsVYHN3exePtZ1A,KBS News,https://www.youtube.com/channel/UCcQTRi69dsVYHN3exePtZ1A,https://www.youtube.com/watch?v=8OBR-P3rqgo
yP7APgfeIzE,손흥민 1호 LAFC 유니폼 + 사인알아보는 현지 팬들  #lafc #손흥민lafc #손흥민유니폼,2152717,2025-08-13T16:57:26Z,38,UCEuCc-mK6fnxM4jSVzydXzA,LA So Kyu  엘에이쏘큐,https://www.youtube.com/channel/UCEuCc-mK6fnxM4jSVzydXzA,https://www.youtube.com/watch?v=yP7APgfeIzE
XZ76KZyVm4k,엄청난 손흥민 유니폼 판매량을 본 러비회장의 충격적인 반응,1717901,2025-08-14T16:50:00Z,55,UCuyNWJ46UnESpJ4d_cb7p5A,스타라이트,https://www.youtube.com/channel/UCuyNWJ46UnESpJ4d_cb7p5A,https://www.youtube.com/watch?v=XZ76KZyVm4k
qFT5w0zjD5Q,손흥민 월드클래스 또 다른 패스영상! MOM 괜히 받은게 아니네!,1708172,2025-08-17T06:26:17Z,59,UCpdwwa52oFs1jLB8p-96QeQ,슈픽,https://www.youtube.com/channel/UCpdwwa52oFs1jLB8p-96QeQ,https://www.youtube.com/watch?v=qFT5w0zjD5Q
wYwZrWbNstI,"손흥민, 스피드 폭발! 역대급 스프린트 모음",1642485,2025-08-12T08:42:10Z,50,UCanxmVl3zVYORip0ABOoDuQ,퍼스널풋볼,https://www.youtube.com/channel/UCanxmVl3zVYORip0ABOoDuQ,https://www.youtube.com/watch?v=wYwZrWbNstI
6_kI2KYFANI,호이비에르가 손흥민에게 용기를 불어넣은 방법,1473309,2025-08-11T05:04:54Z,42,UCHF8lPYCii6Wdhe3scftx0Q,공감입니다,https://www.youtube.com/channel/UCHF8lPYCii6Wdhe3scftx0Q,https://www.youtube.com/watch?v=6_kI2KYFANI
1sDvDZWECX4,(손흥민)패널티인지 오심인지 VAR보면 들통납니다 #축구,1458663,2025-08-11T20:00:01Z,59,UCx-h_qSzzrhvHOmiNBeWdkQ,A nice guy,https://www.youtube.com/channel/UCx-h_qSzzrhvHOmiNBeWdkQ,https://www.youtube.com/watch?v=1sDvDZWECX4
e_jD17Pm6fo,"""조국을 버린 자, 유승준씨""…이 대통령 10년 전 답했었다 #비하인드뉴스 / JTBC 뉴스룸",1373818,2025-08-11T11:04:55Z,119,UCsU-I-vHLiaMfV_ceaYz5rQ,JTBC News,https://www.youtube.com/channel/UCsU-I-vHLiaMfV_ceaYz5rQ,https://www.youtube.com/watch?v=e_jD17Pm6fo
d49tIfj24yg,골없어도 최고평점에 POM까지 가져간 손흥민 미친 어시ㄷㄷㄷ,1236291,2025-08-17T02:15:27Z,20,UC_BudaUPZ_TbvfUDFRGLQBw,쏘니 타임즈,https://www.youtube.com/channel/UC_BudaUPZ_TbvfUDFRGLQBw,https://www.youtube.com/watch?v=d49tIfj24yg
C9pn1K0_Yxg,토트넘 팬이 손흥민에게 전하는 메세지 #손흥민 #토트넘,1231099,2025-08-13T09:48:51Z,50,UCvdw9aeoHRuugJUhWsyep8A,더포텐셜 (The Potential),https://www.youtube.com/channel/UCvdw9aeoHRuugJUhWsyep8A,https://www.youtube.com/watch?v=C9pn1K0_Yxg
sgxXPG9R9kI,손흥민 대 테란 미국 첫 경기부터 신고식 제대로 치른 손흥민 열정 어쩔 ㄷㄷ,1220692,2025-08-11T11:25:00Z,31,UChKPNa5nF7zpWAIwd1ooFvQ,원투테오 ONETWOTHEO,https://www.youtube.com/channel/UChKPNa5nF7zpWAIwd1ooFvQ,https://www.youtube.com/watch?v=sgxXPG9R9kI
y-RcwaqA7R0,"'데뷔골·첫 승리' 동시 사냥‥""손흥민은 막기 어려운 선수"" (2025.08.16/뉴스데스크/MBC)",1201965,2025-08-16T12:05:13Z,69,UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,https://www.youtube.com/watch?v=y-RcwaqA7R0
fMnEPe2BKv0,신입생 손흥민 환영식 ㅋㅋㅋ,1195100,2025-08-13T22:12:01Z,12,UCWOJBPAhe2W0BqL2NO2EGnQ,핫뉴스,https://www.youtube.com/channel/UCWOJBPAhe2W0BqL2NO2EGnQ,https://www.youtube.com/watch?v=fMnEPe2BKv0
HrJhAuY8ZR8,[단독] 윤석열 면회에 휴대전화 반입 허용‥서울구치소장 전격 교체 (2025.08.14/뉴스데스크/MBC),1170759,2025-08-14T10:50:48Z,147,UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,https://www.youtube.com/watch?v=HrJhAuY8ZR8
EBWvz-CmFhY,500억 손흥민을 국빈급 홍보로 이미 본전 뽑은 LAFC의 넘사벽 마케팅,1153294,2025-08-12T04:23:06Z,55,UCNxCwQDxlbJwdTxcK8G668A,스타썰,https://www.youtube.com/channel/UCNxCwQDxlbJwdTxcK8G668A,https://www.youtube.com/watch?v=EBWvz-CmFhY
3J_nBWheCKw,아자르가 말하는 손흥민,1150747,2025-08-14T08:00:04Z,27,UC8Rr7bZIBcztSczTSYuZpuQ,숏큐멘터리,https://www.youtube.com/channel/UC8Rr7bZIBcztSczTSYuZpuQ,https://www.youtube.com/watch?v=3J_nBWheCKw
J9vxyRI_Ugw,손흥민 승부욕 #shorts,1045778,2025-08-15T06:00:14Z,45,UC2qVOOz13xLXHaw9yW-aMXQ,동현kldh,https://www.youtube.com/channel/UC2qVOOz13xLXHaw9yW-aMXQ,https://www.youtube.com/watch?v=J9vxyRI_Ugw
9OTQWPpkyRA,"손흥민 없이도 괜찮다던 토트넘, 이강인 한 방에 끝났다 #이강인 #토트넘 #슈퍼컵 #PSG #축구반전 #슈퍼컵결승 #골하이라이트 #유로피언축구 #슈퍼컵2025 #축구드라마",1003080,2025-08-14T12:30:10Z,60,UCmxyzxATj7B9PATq0jyF8gw,한국은 빠밤!!!,https://www.youtube.com/channel/UCmxyzxATj7B9PATq0jyF8gw,https://www.youtube.com/watch?v=9OTQWPpkyRA
N_IoNTJHwzo,손흥민 vs 케인🔥토트넘 팬 대표가 뽑은 진짜 레전드,998683,2025-08-13T09:28:00Z,60,UCIteuoGFSojc8V_8NedwrMQ,축구대통령,https://www.youtube.com/channel/UCIteuoGFSojc8V_8NedwrMQ,https://www.youtube.com/watch?v=N_IoNTJHwzo
KZqR9VTkmfw,손흥민 종료 1초전 쐐기골 어시스트 폭발에 뒤집어진 LA선수들ㅋㅋㅋ   ,978980,2025-08-17T03:03:46Z,646,UCGf-3tzlytK_4shegtGEfoQ,Jin Soccer 진사커,https://www.youtube.com/channel/UCGf-3tzlytK_4shegtGEfoQ,https://www.youtube.com/watch?v=KZqR9VTkmfw
BPEpnLPiv34,6개월 뛴 지루보다 30분 뛴 손흥민이 더 낫다는 현지해설,974133,2025-08-12T03:45:11Z,38,UC_RiUys4rBMkOn-kzyhg0hA,리얼스포츠,https://www.youtube.com/channel/UC_RiUys4rBMkOn-kzyhg0hA,https://www.youtube.com/watch?v=BPEpnLPiv34
qFH8JWecH6A,손흥민 연봉 다주고도 벌써 흑자인 LAFC구단의 천재적 마케팅,950115,2025-08-11T08:10:02Z,49,UCuyNWJ46UnESpJ4d_cb7p5A,스타라이트,https://www.youtube.com/channel/UCuyNWJ46UnESpJ4d_cb7p5A,https://www.youtube.com/watch?v=qFH8JWecH6A
2MY5e2MFcyo,추가시간까지 위협적인 손흥민을 본 상대 골키퍼 반응 ㅋㅋㅋㅋㅋ,929269,2025-08-17T09:00:04Z,12,UCWOJBPAhe2W0BqL2NO2EGnQ,핫뉴스,https://www.youtube.com/channel/UCWOJBPAhe2W0BqL2NO2EGnQ,https://www.youtube.com/watch?v=2MY5e2MFcyo
